Date,Index
1980.125,118.4851443
1980.208333,117.7011466
1980.291667,117.4737874
1980.375,117.1384152
1980.458333,116.5648009
1980.541667,117.3798127
1980.625,117.2227522
1980.708333,116.8088486
1980.791667,116.178729
1980.875,115.6930431
1980.958333,115.0743017
1981.041667,114.5001191
1981.125,113.7829728
1981.208333,113.6837038
1981.291667,113.9219806
1981.375,113.8202622
1981.458333,113.5497255
1981.541667,112.8987589
1981.625,112.6244152
1981.708333,111.7480583
1981.791667,111.6553887
1981.875,111.3001843
1981.958333,111.0314707
1982.041667,110.7463142
1982.125,110.5715362
1982.208333,110.6409936
1982.291667,110.3324763
1982.375,109.4433634
1982.458333,108.0828071
1982.541667,107.5000066
1982.625,107.233953
1982.708333,107.0498547
1982.791667,106.7228185
1982.875,106.944987
1982.958333,107.5630585
1983.041667,107.6975268
1983.125,108.1448542
1983.208333,108.5929078
1983.291667,108.3775127
1983.375,108.2634069
1983.458333,108.4660031
1983.541667,108.6485637
1983.625,108.8037467
1983.708333,108.5503652
1983.791667,108.4313185
1983.875,108.3650324
1983.958333,108.5411022
1984.041667,108.2169735
1984.125,108.0354405
1984.208333,108.3170245
1984.291667,108.3977383
1984.375,108.7661305
1984.458333,109.0766798
1984.541667,109.2577501
1984.625,109.3616736
1984.708333,109.1608442
1984.791667,109.0510158
1984.875,109.06524
1984.958333,109.3009557
1985.041667,109.4669351
1985.125,109.4431232
1985.208333,109.6571113
1985.291667,109.8888174
1985.375,110.3187063
1985.458333,110.8045761
1985.541667,111.3870097
1985.625,111.9494551
1985.708333,112.3604919
1985.791667,112.5828384
1985.875,112.8874134
1985.958333,113.1766129
1986.041667,113.5403691
1986.125,114.525445
1986.208333,115.9190553
1986.291667,117.2043692
1986.375,117.9936013
1986.458333,118.5136532
1986.541667,119.6900159
1986.625,120.5055825
1986.708333,120.8519959
1986.791667,121.4214006
1986.875,121.9161235
1986.958333,122.7042849
1987.041667,122.6765379
1987.125,123.0037652
1987.208333,123.0945685
1987.291667,123.3980254
1987.375,124.0494421
1987.458333,124.8753637
1987.541667,125.6066302
1987.625,125.8493835
1987.708333,125.849582
1987.791667,126.0398992
1987.875,126.2829743
1987.958333,126.7483747
1988.041667,126.859879
1988.125,127.1441985
1988.208333,127.3478797
1988.291667,127.5413959
1988.375,128.2344401
1988.458333,128.8860583
1988.541667,129.4581448
1988.625,129.813249
1988.708333,129.6411695
1988.791667,129.6512262
